id,t,x,y
4,20.0,7.7965703,13.879025
4,21.0,7.8232727,13.962225
4,22.0,7.80423,14.048229
4,23.0,7.762788,14.103245
4,24.0,7.7226715,14.117034
4,25.0,7.698612,14.098816
4,26.0,7.694028,14.066801
4,27.0,7.7038207,14.037983
4,28.0,7.719276,14.022145
4,29.0,7.7325683,14.020741
4,30.0,7.7394023,14.029271
4,31.0,7.739432,14.0410385
4,32.0,7.7350225,14.050449
4,33.0,7.729402,14.054752
4,34.0,7.7251267,14.054099
4,35.0,7.723347,14.050471
4,36.0,7.723865,14.046287
4,37.0,7.725681,14.043326
4,38.0,7.727653,14.042285
4,39.0,7.728978,14.042888
4,40.0,7.7293797,14.044331
4,41.0,7.7290277,14.045773
4,42.0,7.72832,14.046667
4,43.0,7.727649,14.046866
4,44.0,7.727257,14.046538
4,45.0,7.727194,14.045991
4,46.0,7.7273693,14.045509
4,47.0,7.7276335,14.045253
4,48.0,7.7278547,14.04524
4,49.0,7.7279644,14.045391
4,50.0,7.7279596,14.045591
5,0.0,10.018487,10.430316
5,1.0,15.375181,13.387348
5,2.0,17.842712,22.42308
5,3.0,14.51885,36.52195
5,4.0,9.283316,44.27371
5,5.0,6.219105,41.082054
5,6.0,5.203759,33.722668
5,7.0,5.453498,27.106562
5,8.0,6.628631,22.804708
5,9.0,8.492035,21.13042
5,10.0,10.466077,22.159489
5,11.0,11.55818,25.695251
5,12.0,11.119276,30.422901
5,13.0,9.654479,33.77811
5,14.0,8.224617,34.109608
5,15.0,7.4173737,32.080036
5,16.0,7.296409,29.32287
5,17.0,7.722908,27.085157
5,18.0,8.475113,25.98978
5,19.0,9.245162,26.195362
5,20.0,9.700296,27.469429
5,21.0,9.660868,29.186665
5,22.0,9.22939,30.52416
5,23.0,8.691523,30.926039
5,24.0,8.301509,30.411142
5,25.0,8.173419,29.419561
5,26.0,8.295355,28.4637
5,27.0,8.574525,27.90243
5,28.0,8.876991,27.872221
5,29.0,9.074586,28.294312
5,30.0,9.098948,28.92552
5,31.0,8.970399,29.465738
5,32.0,8.774963,29.699398
5,33.0,8.608689,29.586943
5,34.0,8.53254,29.247824
5,35.0,8.557915,28.868711
5,36.0,8.655016,28.609997
5,37.0,8.771846,28.551271
5,38.0,8.857136,28.678923
5,39.0,8.881001,28.907352
5,40.0,8.844802,29.123951
5,41.0,8.775322,29.240612
5,42.0,8.708004,29.227907
5,43.0,8.669961,29.116673
5,44.0,8.67079,28.97226
5,45.0,8.702597,28.860088
5,46.0,8.746595,28.81943
5,47.0,8.782511,28.853184
5,48.0,8.797055,28.933563
5,49.0,8.788248,29.018784
5,50.0,8.764217,29.072773
6,0.0,22.158579,19.489166
6,1.0,11.410837,31.076773
6,2.0,6.227997,29.762165
6,3.0,4.4975624,23.195038
6,4.0,4.3094645,17.108122
6,5.0,5.013651,12.850445
6,6.0,6.4317427,10.337716
6,7.0,8.379571,9.276251
6,8.0,10.41012,9.482684
6,9.0,11.848565,10.868857
6,10.0,12.174178,13.200535
6,11.0,11.417713,15.7858925
6,12.0,10.131696,17.622177
6,13.0,8.937635,18.123434
6,14.0,8.168266,17.488186
6,15.0,7.8770723,16.3151
6,16.0,7.983622,15.139985
6,17.0,8.358659,14.278329
6,18.0,8.850153,13.855619
6,19.0,9.302086,13.867961
6,20.0,9.589638,14.219558
6,21.0,9.657853,14.747915
6,22.0,9.534709,15.2640505
6,23.0,9.305789,15.613299
6,24.0,9.068374,15.726778
6,25.0,8.894336,15.6296425
6,26.0,8.816015,15.407162
6,27.0,8.830161,15.158066
6,28.0,8.90957,14.960401
