id,t,x0,x1
26,16.8,1.272219,2.928209
26,17.2,1.601406,2.955124
26,17.6,1.915543,3.153686
26,18.0,2.114713,3.464111
26,18.4,2.125694,3.786037
26,18.8,1.910411,3.998512
26,19.2,1.472701,3.980297
26,19.6,1.00254,3.695901
26,20.0,0.886485,3.335041
26,20.4,1.032724,3.057432
26,20.8,1.301293,2.923319
26,21.2,1.632935,2.967311
26,21.6,1.94011,3.179475
26,22.0,2.12404,3.49541
26,22.4,2.114975,3.812131
26,22.8,1.877859,4.007696
26,23.2,1.423956,3.963185
26,23.6,0.974346,3.661135
26,24.0,0.89295,3.304192
26,24.4,1.053873,3.038028
26,24.8,1.330932,2.919718
26,25.2,1.664474,2.980821
26,25.6,1.963942,3.206207
26,26.0,2.132054,3.526955
26,26.4,2.102546,3.837562
26,26.8,1.84338,4.015182
26,27.2,1.374623,3.943884
26,27.6,0.949748,3.626135
26,28.0,0.901146,3.274149
26,28.4,1.075936,3.019867
26,28.8,1.361108,2.917663
26,29.2,1.695778,2.995783
26,29.6,1.986683,3.233818
26,30.0,2.138398,3.558487
26,30.4,2.088136,3.861925
26,30.8,1.806917,4.020522
26,31.2,1.325269,3.922211
26,31.6,0.929112,3.591031
26,32.0,0.911081,3.244992
26,32.4,1.09894,3.00305
26,32.8,1.391762,2.917229
26,33.2,1.72671,3.012195
26,33.6,2.008186,3.262227
26,34.0,2.142952,3.589861
26,34.4,2.071668,3.885029
26,34.8,1.768504,4.023534
26,35.2,1.276402,3.898224
26,35.6,0.912445,3.555989
26,36.0,0.922652,3.21678
26,36.4,1.122864,2.987632
26,36.8,1.422827,2.918438
26,37.2,1.757168,3.030023
26,37.6,2.028363,3.291351
26,38.0,2.145658,3.620962
26,38.4,2.053113,3.906746
26,38.8,1.728206,4.024115
26,39.2,1.228537,3.872067
26,39.6,0.899605,3.521161
26,40.0,0.935738,3.189562
27,0.0,2.946633,6.944242
27,0.4,0.357063,6.310697
27,0.8,0.307695,5.543546
27,1.2,0.359345,4.834567
27,1.6,0.428576,4.173975
27,2.0,0.52414,3.58003
27,2.4,0.659209,3.080204
27,2.8,0.849438,2.713397
27,3.2,1.098463,2.522933
27,3.6,1.368555,2.528189
27,4.0,1.577783,2.689874
27,4.4,1.649321,2.910227
27,4.8,1.557848,3.069993
27,5.2,1.35362,3.082066
27,5.6,1.170798,2.953679
27,6.0,1.127392,2.786812
27,6.4,1.209036,2.678064
27,6.8,1.341839,2.666867
27,7.2,1.455917,2.741293
27,7.6,1.500973,2.852121
27,8.0,1.460998,2.936822
27,8.4,1.36349,2.950904
27,8.8,1.270631,2.894552
27,9.2,1.237422,2.81063
27,9.6,1.270736,2.749438
27,10.0,1.339213,2.738348
27,10.4,1.402487,2.774782
27,10.8,1.429868,2.833156
27,11.2,1.411412,2.879662
27,11.6,1.361783,2.890237
27,12.0,1.312444,2.863608
27,12.4,1.291467,2.819993
27,12.8,1.305691,2.785729
27,13.2,1.341268,2.777368
27,13.6,1.376241,2.79525
27,14.0,1.392672,2.826199
27,14.4,1.384336,2.851931
27,14.8,1.358725,2.859152
27,15.2,1.332142,2.846405
27,15.6,1.319469,2.823547
27,16.0,1.32548,2.804468
27,16.4,1.343927,2.798759
27,16.8,1.363127,2.807431
27,17.2,1.372877,2.823802
27,17.6,1.369297,2.838036
27,18.0,1.356069,2.842733
27,18.4,1.341693,2.836666
27,18.8,1.334194,2.824677
27,19.2,1.336617,2.81411
27,19.6,1.346139,2.810414
27,20.0,1.356613,2.814546
27,20.4,1.362337,2.823168
27,20.8,1.360922,2.831021
27,21.2,1.354111,2.833979
27,21.6,1.346339,2.831133
27,22.0,1.34196,2.824857
27,22.4,1.342846,2.819033
27,22.8,1.347735,2.816721
27,23.2,1.353418,2.818647
27,23.6,1.356744,2.823166
27,24.0,1.356267,2.827482
27,24.4,1.352778,2.829301
27,24.8,1.348584,2.827996
27,25.2,1.346053,2.824721
27,25.6,1.346309,2.821525
27,26.0,1.348805,2.820113
27,26.4,1.351875,2.820985
27,26.8,1.35379,2.823343
27,27.2,1.353688,2.825707
27,27.6,1.351911,2.826803
27,28.0,1.349655,2.826224
27,28.4,1.348204,2.824522
27,28.8,1.348225,2.822775
27,29.2,1.349491,2.821929
27,29.6,1.351142,2.822308
27,30.0,1.352236,2.823532
27,30.4,1.352266,2.824822
27,30.8,1.351367,2.825473
27,31.2,1.350156,2.825228
27,31.6,1.349331,2.824348
27,32.0,1.34928,2.823396
27,32.4,1.349918,2.822897
27,32.8,1.350802,2.823052
27,33.2,1.351423,2.823684
27,33.6,1.351484,2.824385
27,34.0,1.351033,2.824767
27,34.4,1.350386,2.824671
27,34.8,1.349919,2.824218
27,35.2,1.349858,2.823702
27,35.6,1.350177,2.82341
27,36.0,1.350649,2.823467
27,36.4,1.350999,2.823792
27,36.8,1.351056,2.824171
27,37.2,1.350832,2.824393
27,37.6,1.350487,2.824361
27,38.0,1.350225,2.824129
27,38.4,1.350174,2.82385
27,38.8,1.350332,2.823682
27,39.2,1.350583,2.823698
27,39.6,1.350779,2.823864
27,40.0,1.350823,2.824068
28,0.0,2.067903,5.989414
28,0.4,2.366538,5.973421
28,0.8,2.734359,6.198235
28,1.2,3.067519,6.632744
28,1.6,3.284279,7.195151
28,2.0,3.339111,7.778693
28,2.4,3.211253,8.266793
28,2.8,2.885999,8.535289
28,3.2,2.331646,8.440144
28,3.6,1.482387,7.792044
28,4.0,0.755288,6.64124
28,4.4,0.830089,5.631202
28,4.8,1.201621,4.887791
28,5.2,1.877848,4.591217
28,5.6,2.746277,4.867234
28,6.0,3.516716,5.628048
28,6.4,4.02083,6.683572
28,6.8,4.220805,7.836401
28,7.2,4.127789,8.903917
28,7.6,3.752393,9.712011
28,8.0,3.063789,10.066342
28,8.4,1.877189,9.654244
28,8.8,0.494592,8.240254
28,9.2,0.545878,7.060529
28,9.6,0.711128,6.002179
28,10.0,1.008285,5.135781
28,10.4,1.563697,4.632041
28,10.8,2.39308,4.67745
28,11.2,3.237111,5.266489
28,11.6,3.860237,6.231728
28,12.0,4.18322,7.372507
28,12.4,4.205772,8.499439
28,12.8,3.94349,9.436624
28,13.2,3.388791,10.00337
28,13.6,2.444536,9.95622
28,14.0,0.807142,8.83323
28,14.4,0.500018,7.529497
28,14.8,0.632475,6.419972
28,15.2,0.863098,5.459717
28,15.6,1.29659,4.78074
28,16.0,2.032214,4.587223
28,16.4,2.907771,4.967786
28,16.8,3.638853,5.802691
28,17.2,4.087761,6.895241
28,17.6,4.231739,8.049717
28,18.0,4.08519,9.08576
28,18.4,3.6548,9.828365
28,18.8,2.894333,10.072274
28,19.2,1.559527,9.455565
28,19.6,0.476244,8.016848
28,20.0,0.569394,6.862067
28,20.4,0.751537,5.829815
28,20.8,1.084612,5.01288
28,21.2,1.696422,4.596754
28,21.6,2.551717,4.746421
28,22.0,3.368555,5.417026
28,22.4,3.940487,6.428214
28,22.8,4.208791,7.579924
28,23.2,4.17953,8.685656
28,23.6,3.866897,9.570617
28,24.0,3.254394,10.049207
28,24.4,2.211774,9.852093
28,24.8,0.597154,8.555825
28,25.2,0.518424,7.323585
28,25.6,0.664467,6.235013
28,26.0,0.921462,5.312458
28,26.4,1.405877,4.704989
28,26.8,2.187403,4.61441
28,27.2,3.055092,5.088911
28,27.6,3.74131,5.984694
28,28.0,4.13558,7.102214
28,28.4,4.226386,8.248383
28,28.8,4.029443,9.245058
28,29.2,3.546168,9.915579
28,29.6,2.711642,10.041037
28,30.0,1.224169,9.205947
28,30.4,0.481494,7.802182
28,30.8,0.595181,6.667256
28,31.2,0.796542,5.664045
28,31.6,1.170218,4.902711
28,32.0,1.837842,4.58023
28,32.4,2.708728,4.832321
28,32.8,3.491785,5.57844
28,33.2,4.010908,6.629137
28,33.6,4.224862,7.785839
28,34.0,4.144325,8.864851
28,34.4,3.780972,9.691816
28,34.8,3.107215,10.07425
28,35.2,1.950123,9.708888
28,35.6,0.504285,8.308968
28,36.0,0.539196,7.120809
28,36.4,0.699792,6.055136
28,36.8,0.987039,5.174987
28,37.2,1.525702,4.646226
28,37.6,2.345378,4.660164
28,38.0,3.196122,5.223565
28,38.4,3.834219,6.173734
28,38.8,4.173666,7.310056
28,39.2,4.211896,8.442272
28,39.6,3.964707,9.394039
28,40.0,3.426836,9.985813
29,0.0,4.305168,9.376965
29,0.4,1.984404,9.637475
29,0.8,0.256319,8.442075
29,1.2,0.288206,7.575853
29,1.6,0.3289,6.734929
29,2.0,0.381948,5.926874
29,2.4,0.453569,5.163125
29,2.8,0.554521,4.461708
29,3.2,0.704039,3.852424
29,3.6,0.934491,3.385183
29,4.0,1.281357,3.133518
29,4.4,1.725195,3.162576
29,4.8,2.148055,3.46236
29,5.2,2.413496,3.931896
29,5.6,2.441575,4.419588
29,6.0,2.20015,4.755821
29,6.4,1.682364,4.76696
29,6.8,1.036388,4.355292
29,7.2,0.832873,3.796438
29,7.6,1.004108,3.366407
29,8.0,1.340433,3.150915
29,8.4,1.770034,3.208419
29,8.8,2.166631,3.520029
29,9.2,2.401339,3.981757
29,9.6,2.401198,4.443857
29,10.0,2.137335,4.740445
29,10.4,1.609903,4.705243
29,10.8,1.005576,4.270684
29,11.2,0.856815,3.730121
29,11.6,1.047004,3.327473
29,12.0,1.396704,3.14744
29,12.4,1.826895,3.241286
29,12.8,2.205699,3.577914
29,13.2,2.410743,4.045641
29,13.6,2.376591,4.49225
29,14.0,2.078221,4.751725
29,14.4,1.523984,4.661769
29,14.8,0.95689,4.19174
29,15.2,0.872615,3.664437
29,15.6,1.088325,3.288496
29,16.0,1.45413,3.144821
29,16.4,1.885195,3.275992
29,16.8,2.245606,3.638173
29,17.2,2.420084,4.111873
29,17.6,2.350434,4.542054
29,18.0,2.015283,4.76205
29,18.4,1.434141,4.614512
29,18.8,0.915078,4.113405
29,19.2,0.891192,3.601233
29,19.6,1.131756,3.25317
29,20.0,1.512923,3.146794
29,20.4,1.942625,3.314766
29,20.8,2.28269,3.700678
29,21.2,2.425546,4.177891
29,21.6,2.319775,4.588829
29,22.0,1.947457,4.766266
29,22.4,1.343682,4.560198
29,22.8,0.884222,4.035809
29,23.2,0.913844,3.541107
29,23.6,1.177813,3.222409
29,24.0,1.572777,3.15407
29,24.4,1.998372,3.357782
29,24.8,2.316037,3.76502
29,25.2,2.426323,4.242777
29,25.6,2.284043,4.631295
29,26.0,1.874722,4.763055
29,26.4,1.255042,4.498875
29,26.8,0.864311,3.959577
29,27.2,0.940426,3.484361
29,27.6,1.226465,3.196546
29,28.0,1.633314,3.166746
29,28.4,2.051971,3.404828
29,28.8,2.345309,3.830772
29,29.2,2.4222,4.305976
29,29.6,2.243114,4.668823
29,30.0,1.797295,4.751885
29,30.4,1.170694,4.431445
29,30.8,0.854266,3.885217
29,31.2,0.970641,3.431235
29,31.6,1.277565,3.17578
29,32.0,1.694138,3.184766
29,32.4,2.103051,3.455603
29,32.8,2.370309,3.897514
29,33.2,2.413087,4.367014
29,33.6,2.196957,4.700918
29,34.0,1.71554,4.732445
29,34.4,1.093192,4.359179
29,34.8,0.852759,3.813094
29,35.2,1.004241,3.381955
29,35.6,1.330919,3.160257
29,36.0,1.754842,3.208013
29,36.4,2.151286,3.509772
29,36.8,2.39088,3.964816
29,37.2,2.398927,4.425435
29,37.6,2.145567,4.727119
29,38.0,1.630004,4.70455
29,38.4,1.024904,4.283524
29,38.8,0.858514,3.743481
29,39.2,1.041037,3.336744
29,39.6,1.386296,3.150092
29,40.0,1.815013,3.236329
30,0.0,3.68896,5.687403
30,0.4,3.705676,6.683723
