id,t,activator,inhibitor
25,11.2,3.224821,4.057784
25,11.6,3.610331,4.333605
25,12.0,3.882228,4.650472
25,12.4,4.028165,4.989295
25,12.8,4.046543,5.330865
25,13.2,3.937407,5.656086
25,13.6,3.693979,5.94496
25,14.0,3.289403,6.173703
25,14.4,2.638525,6.306594
25,14.8,1.429346,6.265036
25,15.2,0.419032,6.03205
25,15.6,0.427297,5.828588
25,16.0,0.447815,5.628734
25,16.4,0.470455,5.432274
25,16.8,0.495552,5.239574
25,17.2,0.523559,5.051068
25,17.6,0.555055,4.867278
25,18.0,0.590803,4.68884
25,18.4,0.631823,4.51654
25,18.8,0.679532,4.351375
25,19.2,0.735952,4.194643
25,19.6,0.804095,4.048086
25,20.0,0.888637,3.914138
25,20.4,0.997131,3.796345
25,20.8,1.142041,3.700091
25,21.2,1.343193,3.63371
25,21.6,1.626724,3.609528
25,22.0,2.010405,3.642842
25,22.4,2.475679,3.746482
25,22.8,2.962018,3.923983
25,23.2,3.399707,4.167916
25,23.6,3.73993,4.46332
25,24.0,3.95936,4.791801
25,24.4,4.051415,5.13411
25,24.8,4.016199,5.471128
25,25.2,3.851998,5.783582
25,25.6,3.545838,6.050397
25,26.0,3.054089,6.244342
25,26.4,2.233071,6.318255
25,26.8,0.700564,6.164446
25,27.2,0.417001,5.945617
25,27.6,0.435703,5.743911
25,28.0,0.457088,5.545449
25,28.4,0.480716,5.350526
25,28.8,0.506978,5.159537
25,29.2,0.536377,4.97295
25,29.6,0.56956,4.791332
25,30.0,0.607388,4.615376
25,30.4,0.651028,4.445949
25,30.8,0.702117,4.28416
25,31.2,0.763038,4.131474
25,31.6,0.837396,3.989886
25,32.0,0.930891,3.862233
25,32.4,1.052847,3.752726
25,32.8,1.218579,3.667838
25,33.2,1.451211,3.617513
25,33.6,1.776282,3.615682
25,34.0,2.199461,3.677505
25,34.4,2.682487,3.812536
25,34.8,3.15599,4.019498
25,35.2,3.556929,4.287241
25,35.6,3.847842,4.598926
25,36.0,4.013761,4.935586
25,36.4,4.052051,5.277984
25,36.8,3.963041,5.607041
25,37.2,3.741665,5.903025
25,37.6,3.365636,6.14307
25,38.0,2.764156,6.294359
25,38.4,1.684041,6.289324
25,38.8,0.433638,6.064965
25,39.2,0.424288,5.860162
25,39.6,0.444469,5.659805
25,40.0,0.466759,5.462792
26,0.0,4.147698,7.989105
26,0.4,2.890268,8.163102
26,0.8,0.457345,7.980046
26,1.2,0.301825,7.748526
26,1.6,0.311993,7.528317
26,2.0,0.322864,7.309737
26,2.4,0.334504,7.092902
26,2.8,0.346999,6.877941
26,3.2,0.36045,6.664996
26,3.6,0.374972,6.454228
26,4.0,0.390702,6.245817
26,4.4,0.407802,6.039969
26,4.8,0.426465,5.836918
26,5.2,0.446927,5.636932
26,5.6,0.469473,5.440325
26,6.0,0.49446,5.247461
26,6.4,0.522336,5.058772
26,6.8,0.553675,4.874776
26,7.2,0.589228,4.696102
26,7.6,0.630006,4.52353
26,8.0,0.677403,4.358047
26,8.4,0.733412,4.200935
26,8.8,0.800992,4.053916
26,9.2,0.884732,3.919386
26,9.6,0.992031,3.800833
26,10.0,1.135099,3.703548
26,10.4,1.333429,3.635718
26,10.8,1.613055,3.609496
26,11.2,1.99263,3.640135
26,11.6,2.45552,3.740718
26,12.0,2.942442,3.915245
26,12.4,3.3833,4.156691
26,12.8,3.728168,4.450319
26,13.2,3.952802,4.777814
26,13.6,4.050137,5.119931
26,14.0,4.020177,5.457546
26,14.4,3.861448,5.771411
26,14.8,3.5617,6.040586
26,15.2,3.07931,6.238253
26,15.6,2.278054,6.318679
26,16.0,0.759725,6.175397
26,16.4,0.416454,5.954031
26,16.8,0.434862,5.752188
26,17.2,0.456162,5.553586
26,17.6,0.47969,5.35851
26,18.0,0.505834,5.167349
26,18.4,0.535091,4.980571
26,18.8,0.568103,4.798734
26,19.2,0.605718,4.622528
26,19.6,0.649089,4.452811
26,20.0,0.69983,4.290681
26,20.4,0.760283,4.137583
26,20.8,0.833991,3.995487
26,21.2,0.926542,3.867186
26,21.6,1.047069,3.75682
26,22.0,1.210585,3.670746
26,22.4,1.439913,3.61874
26,22.8,1.760806,3.614593
26,23.2,2.180361,3.673531
26,23.6,2.662201,3.805481
26,24.0,3.137497,4.009635
26,24.4,3.542364,4.275173
26,24.8,3.838244,4.585412
26,25.2,4.009433,4.921421
26,25.6,4.052987,5.263961
26,26.0,3.969273,5.59395
26,26.4,3.753634,5.89172
26,26.8,3.384875,6.134619
26,27.2,2.795524,6.29051
26,27.6,1.746319,6.294396
26,28.0,0.44104,6.073848
26,28.4,0.423507,5.868513
26,28.8,0.443594,5.668025
26,29.2,0.465792,5.470867
26,29.6,0.490371,5.27739
26,30.0,0.51776,5.088016
26,30.4,0.548512,4.903246
26,30.8,0.583347,4.723692
26,31.2,0.623227,4.550106
26,31.6,0.669474,4.383437
26,32.0,0.72397,4.224915
26,32.4,0.789488,4.076178
26,32.8,0.8703,3.939496
26,33.2,0.973257,3.818151
26,33.6,1.109648,3.717085
26,34.0,1.297708,3.643948
26,34.4,1.562889,3.610248
26,34.8,1.926709,3.630976
26,35.2,2.379617,3.720055
26,35.6,2.867615,3.883212
26,36.0,3.319677,4.115013
26,36.4,3.681757,4.40163
26,36.8,3.925991,4.725089
26,37.2,4.043327,5.066187
26,37.6,4.03326,5.405763
26,38.0,3.895087,5.724655
26,38.4,3.619059,6.002368
26,38.8,3.170366,6.213489
26,39.2,2.437208,6.317018
26,39.6,1.025493,6.216265
