id,t,initiator,regulator,effector
2,8.7,0.396727,0.034459,1.189554
2,8.8,0.403637,0.033627,1.190386
2,8.9,0.410534,0.032866,1.191147
2,9.0,0.417417,0.032168,1.191845
2,9.1,0.424283,0.031525,1.192488
2,9.2,0.431132,0.030931,1.193082
2,9.3,0.437963,0.030379,1.193634
2,9.4,0.444774,0.029865,1.194148
2,9.5,0.451564,0.029384,1.194629
2,9.6,0.458333,0.028932,1.195081
2,9.7,0.465081,0.028505,1.195508
2,9.8,0.471806,0.028102,1.195911
2,9.9,0.478508,0.027719,1.196294
2,10.0,0.485186,0.027354,1.196659
3,0.0,0.023069,0.216859,2.816912
3,0.1,0.030914,0.257006,2.776766
3,0.2,0.037878,0.301548,2.732224
3,0.3,0.043883,0.350852,2.68292
3,0.4,0.048856,0.405276,2.628496
3,0.5,0.052734,0.465164,2.568607
3,0.6,0.055466,0.530835,2.502937
3,0.7,0.057021,0.602564,2.431208
3,0.8,0.057393,0.680565,2.353207
3,0.9,0.056609,0.764962,2.26881
3,1.0,0.054737,0.855755,2.178017
3,1.1,0.051892,0.95278,2.080992
3,1.2,0.048242,1.05567,1.978101
3,1.3,0.044006,1.163819,1.869952
3,1.4,0.039441,1.276354,1.757418
3,1.5,0.034822,1.39213,1.641642
3,1.6,0.030409,1.509758,1.524014
3,1.7,0.026413,1.627665,1.406107
3,1.8,0.022968,1.744185,1.289586
3,1.9,0.020123,1.857679,1.176093
3,2.0,0.017852,1.966643,1.067129
3,2.1,0.016082,2.069809,0.963962
3,2.2,0.014719,2.166204,0.867568
3,2.3,0.013671,2.255171,0.778601
3,2.4,0.012861,2.336363,0.697408
3,2.5,0.012227,2.409709,0.624062
3,2.6,0.011724,2.475364,0.558408
3,2.7,0.01132,2.533658,0.500113
3,2.8,0.010992,2.585047,0.448725
3,2.9,0.010724,2.630062,0.403709
3,3.0,0.010503,2.669279,0.364493
3,3.1,0.01032,2.70328,0.330492
3,3.2,0.010168,2.732637,0.301135
3,3.3,0.010041,2.757893,0.275878
3,3.4,0.009934,2.779556,0.254216
3,3.5,0.009846,2.798087,0.235685
3,3.6,0.009771,2.813903,0.219869
3,3.7,0.009709,2.827375,0.206396
3,3.8,0.009657,2.838834,0.194938
3,3.9,0.009612,2.848565,0.185207
3,4.0,0.009576,2.85682,0.176952
3,4.1,0.009544,2.863815,0.169956
3,4.2,0.009518,2.869738,0.164033
3,4.3,0.009496,2.87475,0.159022
3,4.4,0.009478,2.878987,0.154785
3,4.5,0.009462,2.882568,0.151203
3,4.6,0.009449,2.885594,0.148178
3,4.7,0.009438,2.888149,0.145623
3,4.8,0.009429,2.890305,0.143466
3,4.9,0.009421,2.892126,0.141646
3,5.0,0.009414,2.893662,0.14011
3,5.1,0.009409,2.894957,0.138814
3,5.2,0.009404,2.89605,0.137721
3,5.3,0.0094,2.896972,0.136799
3,5.4,0.009397,2.89775,0.136022
3,5.5,0.009394,2.898405,0.135367
3,5.6,0.009391,2.898958,0.134814
3,5.7,0.009389,2.899424,0.134348
3,5.8,0.009388,2.899816,0.133955
3,5.9,0.009386,2.900148,0.133624
3,6.0,0.009385,2.900427,0.133345
3,6.1,0.009384,2.900662,0.13311
3,6.2,0.009383,2.90086,0.132911
3,6.3,0.009383,2.901028,0.132744
3,6.4,0.009382,2.901168,0.132603
3,6.5,0.009381,2.901287,0.132484
3,6.6,0.009381,2.901387,0.132384
3,6.7,0.009381,2.901472,0.1323
3,6.8,0.00938,2.901543,0.132229
3,6.9,0.00938,2.901603,0.132169
3,7.0,0.00938,2.901653,0.132118
3,7.1,0.00938,2.901696,0.132076
3,7.2,0.00938,2.901732,0.13204
3,7.3,0.009379,2.901762,0.13201
3,7.4,0.009379,2.901788,0.131984
3,7.5,0.009379,2.901809,0.131963
3,7.6,0.009379,2.901827,0.131944
3,7.7,0.009379,2.901842,0.131929
3,7.8,0.009379,2.901855,0.131916
3,7.9,0.009379,2.901866,0.131906
3,8.0,0.009379,2.901875,0.131896
3,8.1,0.009379,2.901883,0.131889
3,8.2,0.009379,2.901889,0.131882
3,8.3,0.009379,2.901895,0.131877
3,8.4,0.009379,2.901899,0.131872
3,8.5,0.009379,2.901903,0.131868
3,8.6,0.009379,2.901907,0.131865
3,8.7,0.009379,2.901909,0.131862
3,8.8,0.009379,2.901912,0.13186
3,8.9,0.009379,2.901914,0.131858
3,9.0,0.009379,2.901915,0.131856
3,9.1,0.009379,2.901917,0.131855
3,9.2,0.009379,2.901918,0.131854
3,9.3,0.009379,2.901919,0.131853
3,9.4,0.009379,2.90192,0.131852
3,9.5,0.009379,2.90192,0.131851
3,9.6,0.009379,2.901921,0.131851
3,9.7,0.009379,2.901921,0.13185
3,9.8,0.009379,2.901922,0.13185
3,9.9,0.009379,2.901922,0.131849
3,10.0,0.009379,2.901923,0.131849
4,0.0,0.032549,0.420243,1.608535
4,0.1,0.037834,0.450133,1.578645
4,0.2,0.042302,0.480674,1.548104
4,0.3,0.045994,0.51186,1.516918
4,0.4,0.048955,0.543686,1.485093
4,0.5,0.051224,0.576149,1.452629
4,0.6,0.052844,0.609249,1.419529
4,0.7,0.053859,0.642985,1.385793
4,0.8,0.054315,0.677352,1.351426
4,0.9,0.05426,0.712342,1.316436
4,1.0,0.053745,0.747939,1.280839
4,1.1,0.052824,0.784119,1.244659
4,1.2,0.051553,0.820846,1.207932
4,1.3,0.04999,0.85807,1.170708
4,1.4,0.048194,0.895728,1.13305
4,1.5,0.046224,0.93374,1.095038
4,1.6,0.044137,0.972009,1.056769
4,1.7,0.041989,1.010423,1.018355
4,1.8,0.039829,1.048855,0.979923
4,1.9,0.037704,1.087165,0.941613
4,2.0,0.03565,1.125204,0.903574
4,2.1,0.033699,1.162817,0.865961
4,2.2,0.031872,1.199847,0.828932
4,2.3,0.030184,1.23614,0.792638
4,2.4,0.028643,1.27155,0.757228
4,2.5,0.027248,1.305942,0.722836
4,2.6,0.025996,1.339195,0.689583
4,2.7,0.02488,1.371206,0.657573
4,2.8,0.023889,1.401889,0.626889
4,2.9,0.023012,1.43118,0.597598
