id,t,x,y
51,0.0,-1.113864,0.051424
51,0.2,-1.08006,-0.167505
51,0.4,-1.004953,-0.371239
51,0.6,-0.893127,-0.552333
51,0.8,-0.750435,-0.704526
51,1.0,-0.58372,-0.822945
51,1.2,-0.400502,-0.904241
51,1.4,-0.208661,-0.946661
51,1.6,-0.016107,-0.950054
51,1.8,0.169534,-0.915816
51,2.0,0.341204,-0.846776
51,2.2,0.492677,-0.747021
51,2.4,0.618765,-0.621694
51,2.6,0.715488,-0.476743
51,2.8,0.780179,-0.318659
51,3.0,0.811542,-0.154197
51,3.2,0.809644,0.009903
51,3.4,0.775865,0.167178
51,3.6,0.712789,0.311688
51,3.8,0.624053,0.43823
51,4.0,0.514165,0.542514
52,0.0,2.445399,-1.504247
52,0.2,2.642127,-0.968872
52,0.4,2.72686,-0.416248
52,0.6,2.700647,0.131136
52,0.8,2.56887,0.651883
52,1.0,2.340871,1.126483
52,1.2,2.029421,1.538013
52,1.4,1.650084,1.872705
52,1.6,1.220494,2.120362
52,1.8,0.759577,2.27462
52,2.0,0.286753,2.333054
52,2.2,-0.178851,2.297115
52,2.4,-0.619139,2.171922
52,2.6,-1.017728,1.965914
52,2.8,-1.36052,1.690393
52,3.0,-1.636175,1.358957
52,3.2,-1.836444,0.98688
52,3.4,-1.956378,0.590441
52,3.6,-1.994396,0.186242
52,3.8,-1.952206,-0.209459
52,4.0,-1.83462,-0.581378
53,0.0,-0.537702,1.533307
53,0.2,-0.815136,1.36828
53,0.4,-1.049519,1.15572
53,0.6,-1.233289,0.90588
53,0.8,-1.361178,0.630081
53,1.0,-1.430328,0.340229
53,1.2,-1.440315,0.048312
53,1.4,-1.393063,-0.234065
53,1.6,-1.292681,-0.496133
53,1.8,-1.145215,-0.728343
53,2.0,-0.958332,-0.922703
53,2.2,-0.740951,-1.073024
53,2.4,-0.50285,-1.1751
53,2.6,-0.254238,-1.226795
53,2.8,-0.005339,-1.228043
53,3.0,0.234012,-1.180773
53,3.2,0.454741,-1.088753
53,3.4,0.648869,-0.95737
53,3.6,0.809775,-0.793352
53,3.8,0.932411,-0.604453
53,4.0,1.013438,-0.399103
54,0.0,-1.627211,-2.538121
54,0.2,-1.068943,-2.755146
54,0.4,-0.490374,-2.854921
54,0.6,0.084864,-2.838104
54,0.8,0.634199,-2.709931
54,1.0,1.136963,-2.479827
54,1.2,1.575141,-2.160869
54,1.4,1.93397,-1.769131
54,1.6,2.202398,-1.322928
54,1.8,2.373377,-0.842006
54,2.0,2.443978,-0.346708
54,2.2,2.41535,0.142854
54,2.4,2.292515,0.607583
54,2.6,2.084014,1.03011
54,2.8,1.801435,1.395413
54,3.0,1.458836,1.691319
54,3.2,1.072092,1.908868
54,3.4,0.658197,2.042548
54,3.6,0.234553,2.090369
54,3.8,-0.181738,2.053812
54,4.0,-0.574534,1.937628
55,0.0,-1.261491,-2.032672
55,0.2,-0.816037,-2.198364
55,0.4,-0.355841,-2.270793
55,0.6,0.100355,-2.250757
55,0.8,0.534704,-2.142672
55,1.0,0.930919,-1.954258
55,1.2,1.274856,-1.696099
55,1.4,1.554992,-1.38112
55,1.6,1.76277,-1.023981
55,1.8,1.892828,-0.640429
55,2.0,1.94308,-0.246639
55,2.2,1.91467,0.141445
55,2.4,1.811806,0.508731
55,2.6,1.641465,0.841536
55,2.8,1.413017,1.128079
55,3.0,1.137757,1.358863
55,3.2,0.828383,1.526966
55,3.4,0.498445,1.628211
55,3.6,0.16177,1.661223
55,3.8,-0.168088,1.627375
55,4.0,-0.47838,1.530623
56,0.0,2.578186,1.848722
56,0.2,2.116756,2.278054
56,0.4,1.589873,2.600641
56,0.6,1.020899,2.807936
56,0.8,0.43394,2.896278
56,1.0,-0.147132,2.866845
56,1.2,-0.699613,2.725416
56,1.4,-1.20282,2.481964
56,1.6,-1.638823,2.150098
56,1.8,-1.993049,1.746383
56,2.0,-2.254724,1.28957
56,2.2,-2.417148,0.799771
56,2.4,-2.477802,0.29761
56,2.6,-2.438284,-0.196607
56,2.8,-2.304079,-0.663687
56,3.0,-2.084198,-1.086259
56,3.2,-1.790677,-1.449389
